id,name
55,Foodtruck 12092
12,Kavárna U Rotlevů 22024 (AzP)
10,Albertov-menza 22021
11,HTF-výdejna 22025 (A)
1,Jednota-menza 12011
5,Arnošta-menza 12051
59,Kavárna U Rotlevů 22024 (P)
7,Právnická-Studenti 12071
8,Právnická-Zaměstnanci 12075
15,Budeč-menza 22041
18,Sport-menza 42061
60,HTF-výdejna 22025 (K)
21,Kajetánka-menza 42088
54,Výdejna Hvězda 42081
61,Albertov 22021 (T)
29,Troja-Bufet
27,Troja-menza 52115
30,Hostivař-menza 92901
38,Bufet a výdejna LF HK
35,Na Kotli-menza HK 72401
37,UHK-bufet HK 72403
52,Bufet a výdejna LF Plzeň
42,Lidická-výdejna PL 82201
50,Nový kampus-zaměstnanecká menza-82213
40,Šafránkův pavilon-menza PL 82211
