canteenId,day,kindId,altId,timestamp,countAvailable,countOrdered
5,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,0,73
5,2022-09-19,2,2,2022-09-20 01:59:43.689954+02,0,40
5,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,95
5,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,91
5,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,0,30
5,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,0,39
7,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,43,46
7,2022-09-19,2,2,2022-09-20 01:59:43.689954+02,69,23
7,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,12,66
7,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,11,82
7,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,15,40
7,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,27,74
7,2022-09-19,3,8,2022-09-20 01:59:43.689954+02,38,1
8,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,43,11
8,2022-09-19,2,2,2022-09-20 01:59:43.689954+02,69,8
8,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,12,12
8,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,11,32
8,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,15,10
8,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,27,9
8,2022-09-19,3,8,2022-09-20 01:59:43.689954+02,38,1
10,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,0,91
10,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,60
10,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,91
10,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,0,36
10,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,0,48
10,2022-09-19,3,8,2022-09-20 01:59:43.689954+02,0,5
11,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,0,2
11,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,4
11,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,6
11,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,0,3
11,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,0,0
11,2022-09-19,3,8,2022-09-20 01:59:43.689954+02,0,0
12,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,-1,27
12,2022-09-19,2,2,2022-09-20 01:59:43.689954+02,-1,30
12,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,-1,29
12,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,-1,24
12,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,-1,19
12,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,-1,12
15,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,-1,22
15,2022-09-19,2,2,2022-09-20 01:59:43.689954+02,-1,15
15,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,14
15,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,15,16
15,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,2,16
15,2022-09-19,3,5,2022-09-20 01:59:43.689954+02,0,11
15,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,7,13
15,2022-09-19,3,8,2022-09-20 01:59:43.689954+02,15,5
21,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,7,23
21,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,15,20
21,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,6,48
21,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,9,6
27,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,0,41
27,2022-09-19,2,2,2022-09-20 01:59:43.689954+02,0,38
27,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,67
27,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,65
27,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,0,66
27,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,0,59
27,2022-09-19,3,8,2022-09-20 01:59:43.689954+02,0,1
29,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,0,0
29,2022-09-19,2,2,2022-09-20 01:59:43.689954+02,0,0
29,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,0
29,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,0
29,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,0,0
29,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,0,0
29,2022-09-19,3,8,2022-09-20 01:59:43.689954+02,0,0
35,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,0,12
35,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,13
35,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,33
35,2022-09-19,3,5,2022-09-20 01:59:43.689954+02,0,9
35,2022-09-19,3,7,2022-09-20 01:59:43.689954+02,0,31
37,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,0,0
37,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,0
37,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,0
37,2022-09-19,3,5,2022-09-20 01:59:43.689954+02,0,0
37,2022-09-19,3,7,2022-09-20 01:59:43.689954+02,0,0
38,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,0,8
38,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,0,12
38,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,16
38,2022-09-19,3,5,2022-09-20 01:59:43.689954+02,0,0
38,2022-09-19,3,7,2022-09-20 01:59:43.689954+02,0,0
54,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,8,17
54,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,4,16
54,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,0,30
54,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,7,0
55,2022-09-19,2,1,2022-09-20 01:59:43.689954+02,-1,0
55,2022-09-19,2,2,2022-09-20 01:59:43.689954+02,-1,0
55,2022-09-19,3,1,2022-09-20 01:59:43.689954+02,-1,0
55,2022-09-19,3,2,2022-09-20 01:59:43.689954+02,-1,0
55,2022-09-19,3,3,2022-09-20 01:59:43.689954+02,-1,0
55,2022-09-19,3,6,2022-09-20 01:59:43.689954+02,-1,0
5,2022-09-20,2,1,2022-09-21 01:59:43.859003+02,0,56
5,2022-09-20,2,2,2022-09-21 01:59:43.859003+02,0,58
5,2022-09-20,3,1,2022-09-21 01:59:43.859003+02,0,71
5,2022-09-20,3,2,2022-09-21 01:59:43.859003+02,0,71
5,2022-09-20,3,3,2022-09-21 01:59:43.859003+02,0,24
5,2022-09-20,3,6,2022-09-21 01:59:43.859003+02,0,82
7,2022-09-20,2,1,2022-09-21 01:59:43.859003+02,21,39
7,2022-09-20,2,2,2022-09-21 01:59:43.859003+02,10,26
7,2022-09-20,3,1,2022-09-21 01:59:43.859003+02,0,88
7,2022-09-20,3,2,2022-09-21 01:59:43.859003+02,0,90
7,2022-09-20,3,3,2022-09-21 01:59:43.859003+02,0,26
