canteenId,day,kindId,altId,name,price,price2,allergens,photoName
5,2022-09-19,2,1,Polévka zeleninový vývar s drožďovými knedlíčky,1300,1300,"lepek (pšenice), celer",
5,2022-09-19,2,2,Polévka hrachová s opečenou slaninou a houstičkami,2600,2600,"lepek (pšenice), vejce, mléko, celer",
5,2022-09-19,3,1,"Uzené maso, bramborové knedlíky, špenát",9000,6700,"lepek (pšenice), vejce, mléko",
5,2022-09-19,3,2,"Smažený holandský řízek, bramborová kaše, okurka",9000,6700,"lepek (pšenice), vejce, mléko",
5,2022-09-19,3,3,"Cizrnové kari s kokosovým mlékem, jasmínová rýže",9000,6700,bez alergenů,
5,2022-09-19,3,6,"Kuřecí steak burger, hranolky, tatarská omáčka",10500,8700,"lepek (pšenice), vejce, mléko, hořčice, oxid siřičitý",
55,2022-09-19,2,1,Polévka zeleninový vývar s drožďovými knedlíčky,1300,1300,"lepek (pšenice), celer",
55,2022-09-19,2,2,Polévka hrachová s opečenou slaninou a houstičkami,2600,2600,"lepek (pšenice), vejce, mléko, celer",
55,2022-09-19,3,1,"Uzené maso, bramborové knedlíky, špenát",9000,6700,"lepek (pšenice), vejce, mléko",
55,2022-09-19,3,2,"Smažený holandský řízek, bramborová kaše, okurka",9000,6700,"lepek (pšenice), vejce, mléko",
55,2022-09-19,3,3,"Cizrnové kari s kokosovým mlékem, jasmínová rýže",9000,6700,bez alergenů,
55,2022-09-19,3,6,"Kuřecí steak burger, hranolky, tatarská omáčka",10500,8700,"lepek (pšenice), vejce, mléko, hořčice, oxid siřičitý",
12,2022-09-19,2,1,Polévka zeleninový vývar s drožďovými knedlíčky,1300,1300,"lepek (pšenice), celer",
12,2022-09-19,2,2,Polévka hrachová s opečenou slaninou a houstičkami,2600,2600,"lepek (pšenice), vejce, mléko, celer",
12,2022-09-19,3,1,"Uzené maso, bramborové knedlíky, špenát",9000,6700,"lepek (pšenice), vejce, mléko",
12,2022-09-19,3,2,"Smažený holandský řízek, bramborová kaše, okurka",9000,6700,"lepek (pšenice), vejce, mléko",
12,2022-09-19,3,3,"Cizrnové kari s kokosovým mlékem, jasmínová rýže",9000,6700,bez alergenů,
12,2022-09-19,3,6,"Kuřecí steak burger, hranolky, tatarská omáčka",10500,8700,"lepek (pšenice), vejce, mléko, hořčice, oxid siřičitý",
7,2022-09-19,2,1,Polévka zeleninový vývar s drožďovými knedlíčky,1300,1300,"lepek (pšenice), celer",
